selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
FALSE,0.01, 1, 25,0.85,0.50,gbdt,1000,6.021191302373638
TRUE,0.05, 1, 25,0.85,0.50,gbdt,935,5.675574445540697
FALSE,0.05, 1, 25,0.85,0.50,gbdt,552,5.8731803882391365
TRUE,0.10, 1, 25,0.85,0.50,gbdt,451,5.6882178036989
FALSE,0.10, 1, 25,0.85,0.50,gbdt,381,5.975238578112775
TRUE,0.30, 1, 25,0.85,0.50,gbdt,164,5.718111279658617
FALSE,0.30, 1, 25,0.85,0.50,gbdt,99,5.965899550129333
TRUE,0.01, 3, 25,0.85,0.50,gbdt,999,5.196218447069807
FALSE,0.01, 3, 25,0.85,0.50,gbdt,763,5.4963132487092
TRUE,0.05, 3, 25,0.85,0.50,gbdt,255,5.178605459308274
FALSE,0.05, 3, 25,0.85,0.50,gbdt,185,5.514471402261939
TRUE,0.10, 3, 25,0.85,0.50,gbdt,232,5.1336025013649
FALSE,0.10, 3, 25,0.85,0.50,gbdt,111,5.545523036732706
TRUE,0.30, 3, 25,0.85,0.50,gbdt,128,5.465403500068718
FALSE,0.30, 3, 25,0.85,0.50,gbdt,102,5.863073350510007
TRUE,0.01, 5, 25,0.85,0.50,gbdt,791,5.20001851470723
FALSE,0.01, 5, 25,0.85,0.50,gbdt,947,5.537617727145263
TRUE,0.05, 5, 25,0.85,0.50,gbdt,497,5.183415841798622
FALSE,0.05, 5, 25,0.85,0.50,gbdt,144,5.5577626627176135
TRUE,0.10, 5, 25,0.85,0.50,gbdt,152,5.181296028216161
FALSE,0.10, 5, 25,0.85,0.50,gbdt,99,5.636359633181207
TRUE,0.30, 5, 25,0.85,0.50,gbdt,180,5.285491215491806
FALSE,0.30, 5, 25,0.85,0.50,gbdt,23,5.803328643648323
TRUE,0.01, 8, 25,0.85,0.50,gbdt,770,5.225064761090962
FALSE,0.01, 8, 25,0.85,0.50,gbdt,882,5.504402443277614
TRUE,0.05, 8, 25,0.85,0.50,gbdt,248,5.2756759553492305
FALSE,0.05, 8, 25,0.85,0.50,gbdt,221,5.459757919607156
TRUE,0.10, 8, 25,0.85,0.50,gbdt,67,5.25319020405011
FALSE,0.10, 8, 25,0.85,0.50,gbdt,46,5.633605748693572
TRUE,0.30, 8, 25,0.85,0.50,gbdt,68,5.450459569965072
FALSE,0.30, 8, 25,0.85,0.50,gbdt,30,5.987040495811682
TRUE,0.01,10, 25,0.85,0.50,gbdt,985,5.22043596461863
FALSE,0.01,10, 25,0.85,0.50,gbdt,597,5.529764695073925
TRUE,0.05,10, 25,0.85,0.50,gbdt,217,5.290912375383933
FALSE,0.05,10, 25,0.85,0.50,gbdt,162,5.473574988351824
TRUE,0.10,10, 25,0.85,0.50,gbdt,323,5.216370076443303
FALSE,0.10,10, 25,0.85,0.50,gbdt,56,5.662686454586514
TRUE,0.30,10, 25,0.85,0.50,gbdt,13,5.617025267412838
FALSE,0.30,10, 25,0.85,0.50,gbdt,23,5.987186271111077
TRUE,0.01, 1, 50,0.85,0.50,gbdt,1000,5.964091768856742
FALSE,0.01, 1, 50,0.85,0.50,gbdt,1000,6.021191302373638
TRUE,0.05, 1, 50,0.85,0.50,gbdt,935,5.675574445540697
FALSE,0.05, 1, 50,0.85,0.50,gbdt,552,5.873180388239137
TRUE,0.10, 1, 50,0.85,0.50,gbdt,451,5.6882178036989
FALSE,0.10, 1, 50,0.85,0.50,gbdt,381,5.975238578112775
TRUE,0.30, 1, 50,0.85,0.50,gbdt,164,5.718111279658617
