selection,learning_rate,max_depth,num_leaves,bagging_fraction,feature_fraction,boosting_type,optimal_trees,min_RMSE
FALSE,0.01, 1, 50,0.85,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1, 50,0.85,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1, 50,0.85,0.50,gbdt,771,8.725441356190627
TRUE,0.10, 1, 50,0.85,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1, 50,0.85,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1, 50,0.85,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1, 50,0.85,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3, 50,0.85,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3, 50,0.85,0.50,gbdt,998,8.235538953661075
TRUE,0.05, 3, 50,0.85,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3, 50,0.85,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3, 50,0.85,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3, 50,0.85,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3, 50,0.85,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3, 50,0.85,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5, 50,0.85,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5, 50,0.85,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5, 50,0.85,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5, 50,0.85,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5, 50,0.85,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5, 50,0.85,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5, 50,0.85,0.50,gbdt,246,7.5919044960906374
FALSE,0.30, 5, 50,0.85,0.50,gbdt,336,7.830149349842741
TRUE,0.01, 8, 50,0.85,0.50,gbdt,1000,7.525735429430107
FALSE,0.01, 8, 50,0.85,0.50,gbdt,1000,7.705311330868176
TRUE,0.05, 8, 50,0.85,0.50,gbdt,1000,7.262100987699945
FALSE,0.05, 8, 50,0.85,0.50,gbdt,998,7.394932496292309
TRUE,0.10, 8, 50,0.85,0.50,gbdt,650,7.203490105014371
FALSE,0.10, 8, 50,0.85,0.50,gbdt,1000,7.54607796176277
TRUE,0.30, 8, 50,0.85,0.50,gbdt,267,7.683411457467379
FALSE,0.30, 8, 50,0.85,0.50,gbdt,269,8.020096727501182
TRUE,0.01,10, 50,0.85,0.50,gbdt,1000,7.50443431979936
FALSE,0.01,10, 50,0.85,0.50,gbdt,999,7.683964966806467
TRUE,0.05,10, 50,0.85,0.50,gbdt,1000,7.239815605499249
FALSE,0.05,10, 50,0.85,0.50,gbdt,999,7.458235192443881
TRUE,0.10,10, 50,0.85,0.50,gbdt,994,7.2313095218418555
FALSE,0.10,10, 50,0.85,0.50,gbdt,999,7.4799407059524805
TRUE,0.30,10, 50,0.85,0.50,gbdt,376,7.648622010095529
FALSE,0.30,10, 50,0.85,0.50,gbdt,367,7.9988372778047205
TRUE,0.01, 1,100,0.85,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1,100,0.85,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1,100,0.85,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1,100,0.85,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1,100,0.85,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1,100,0.85,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1,100,0.85,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1,100,0.85,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3,100,0.85,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3,100,0.85,0.50,gbdt,998,8.235538953661077
TRUE,0.05, 3,100,0.85,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3,100,0.85,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3,100,0.85,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3,100,0.85,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3,100,0.85,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3,100,0.85,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5,100,0.85,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5,100,0.85,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5,100,0.85,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5,100,0.85,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5,100,0.85,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5,100,0.85,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5,100,0.85,0.50,gbdt,246,7.5919044960906374
FALSE,0.30, 5,100,0.85,0.50,gbdt,336,7.830149349842741
TRUE,0.01, 8,100,0.85,0.50,gbdt,1000,7.4263878005340365
FALSE,0.01, 8,100,0.85,0.50,gbdt,997,7.584643577615126
TRUE,0.05, 8,100,0.85,0.50,gbdt,994,7.237171462062366
FALSE,0.05, 8,100,0.85,0.50,gbdt,995,7.40134020012398
TRUE,0.10, 8,100,0.85,0.50,gbdt,823,7.278089110415983
FALSE,0.10, 8,100,0.85,0.50,gbdt,998,7.486001449751028
TRUE,0.30, 8,100,0.85,0.50,gbdt,287,7.703888789261224
FALSE,0.30, 8,100,0.85,0.50,gbdt,134,8.114920684290524
TRUE,0.01,10,100,0.85,0.50,gbdt,1000,7.399473986974037
FALSE,0.01,10,100,0.85,0.50,gbdt,1000,7.547940771910194
TRUE,0.05,10,100,0.85,0.50,gbdt,1000,7.189221178556338
FALSE,0.05,10,100,0.85,0.50,gbdt,999,7.34325277422605
TRUE,0.10,10,100,0.85,0.50,gbdt,619,7.268496597540078
FALSE,0.10,10,100,0.85,0.50,gbdt,575,7.576304665202268
TRUE,0.30,10,100,0.85,0.50,gbdt,158,7.683235264170085
FALSE,0.30,10,100,0.85,0.50,gbdt,176,8.026647948659175
TRUE,0.01, 1,200,0.85,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1,200,0.85,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1,200,0.85,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1,200,0.85,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1,200,0.85,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1,200,0.85,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1,200,0.85,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1,200,0.85,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3,200,0.85,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3,200,0.85,0.50,gbdt,998,8.235538953661077
TRUE,0.05, 3,200,0.85,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3,200,0.85,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3,200,0.85,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3,200,0.85,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3,200,0.85,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3,200,0.85,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5,200,0.85,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5,200,0.85,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5,200,0.85,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5,200,0.85,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5,200,0.85,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5,200,0.85,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5,200,0.85,0.50,gbdt,246,7.591904496090638
FALSE,0.30, 5,200,0.85,0.50,gbdt,336,7.830149349842741
TRUE,0.01, 8,200,0.85,0.50,gbdt,1000,7.411312745390915
FALSE,0.01, 8,200,0.85,0.50,gbdt,1000,7.56536143895574
TRUE,0.05, 8,200,0.85,0.50,gbdt,998,7.1968139196319605
FALSE,0.05, 8,200,0.85,0.50,gbdt,946,7.402084582717792
TRUE,0.10, 8,200,0.85,0.50,gbdt,846,7.2461202134239535
FALSE,0.10, 8,200,0.85,0.50,gbdt,714,7.523293946013187
TRUE,0.30, 8,200,0.85,0.50,gbdt,158,7.6713632468518345
FALSE,0.30, 8,200,0.85,0.50,gbdt,210,8.197139871590817
TRUE,0.01,10,200,0.85,0.50,gbdt,1000,7.332356024628045
FALSE,0.01,10,200,0.85,0.50,gbdt,1000,7.494343769565578
TRUE,0.05,10,200,0.85,0.50,gbdt,1000,7.206682822690265
FALSE,0.05,10,200,0.85,0.50,gbdt,977,7.382002023236355
TRUE,0.10,10,200,0.85,0.50,gbdt,662,7.276135806483767
FALSE,0.10,10,200,0.85,0.50,gbdt,931,7.536038117635024
TRUE,0.30,10,200,0.85,0.50,gbdt,141,7.786608038679095
FALSE,0.30,10,200,0.85,0.50,gbdt,198,8.096340078009744
TRUE,0.01, 1, 25,1.00,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1, 25,1.00,0.50,gbdt,1000,9.068742092807907
TRUE,0.05, 1, 25,1.00,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1, 25,1.00,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1, 25,1.00,0.50,gbdt,992,8.491265806504522
FALSE,0.10, 1, 25,1.00,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1, 25,1.00,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1, 25,1.00,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3, 25,1.00,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3, 25,1.00,0.50,gbdt,998,8.235538953661077
TRUE,0.05, 3, 25,1.00,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3, 25,1.00,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3, 25,1.00,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3, 25,1.00,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3, 25,1.00,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3, 25,1.00,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5, 25,1.00,0.50,gbdt,1000,7.707769565661345
FALSE,0.01, 5, 25,1.00,0.50,gbdt,1000,7.855442447277664
TRUE,0.05, 5, 25,1.00,0.50,gbdt,999,7.396777756283543
FALSE,0.05, 5, 25,1.00,0.50,gbdt,998,7.483316769729002
TRUE,0.10, 5, 25,1.00,0.50,gbdt,995,7.249719639745491
FALSE,0.10, 5, 25,1.00,0.50,gbdt,1000,7.548845119456652
TRUE,0.30, 5, 25,1.00,0.50,gbdt,567,7.4964762860495355
FALSE,0.30, 5, 25,1.00,0.50,gbdt,219,7.850186137424747
TRUE,0.01, 8, 25,1.00,0.50,gbdt,1000,7.645445614534818
FALSE,0.01, 8, 25,1.00,0.50,gbdt,1000,7.818145151226746
TRUE,0.05, 8, 25,1.00,0.50,gbdt,1000,7.338710724463766
FALSE,0.05, 8, 25,1.00,0.50,gbdt,999,7.537379660119007
TRUE,0.10, 8, 25,1.00,0.50,gbdt,1000,7.210122332591372
FALSE,0.10, 8, 25,1.00,0.50,gbdt,914,7.541734262737257
TRUE,0.30, 8, 25,1.00,0.50,gbdt,556,7.628545343991804
FALSE,0.30, 8, 25,1.00,0.50,gbdt,283,7.898091048936344
TRUE,0.01,10, 25,1.00,0.50,gbdt,1000,7.652641326104551
FALSE,0.01,10, 25,1.00,0.50,gbdt,1000,7.80040735024295
TRUE,0.05,10, 25,1.00,0.50,gbdt,1000,7.341906343386774
FALSE,0.05,10, 25,1.00,0.50,gbdt,998,7.507114345945614
TRUE,0.10,10, 25,1.00,0.50,gbdt,996,7.229807490428698
FALSE,0.10,10, 25,1.00,0.50,gbdt,975,7.513778561423145
TRUE,0.30,10, 25,1.00,0.50,gbdt,396,7.779926017004419
FALSE,0.30,10, 25,1.00,0.50,gbdt,312,7.8092113736517765
TRUE,0.01, 1, 50,1.00,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1, 50,1.00,0.50,gbdt,1000,9.068742092807907
TRUE,0.05, 1, 50,1.00,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1, 50,1.00,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1, 50,1.00,0.50,gbdt,992,8.491265806504524
FALSE,0.10, 1, 50,1.00,0.50,gbdt,842,8.67779653739386
TRUE,0.30, 1, 50,1.00,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1, 50,1.00,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3, 50,1.00,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3, 50,1.00,0.50,gbdt,998,8.235538953661077
TRUE,0.05, 3, 50,1.00,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3, 50,1.00,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3, 50,1.00,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3, 50,1.00,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3, 50,1.00,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3, 50,1.00,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5, 50,1.00,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5, 50,1.00,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5, 50,1.00,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5, 50,1.00,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5, 50,1.00,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5, 50,1.00,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5, 50,1.00,0.50,gbdt,246,7.591904496090638
FALSE,0.30, 5, 50,1.00,0.50,gbdt,336,7.830149349842741
TRUE,0.01, 8, 50,1.00,0.50,gbdt,1000,7.525735429430107
FALSE,0.01, 8, 50,1.00,0.50,gbdt,1000,7.705311330868176
TRUE,0.05, 8, 50,1.00,0.50,gbdt,1000,7.262100987699945
FALSE,0.05, 8, 50,1.00,0.50,gbdt,998,7.394932496292309
TRUE,0.10, 8, 50,1.00,0.50,gbdt,650,7.20349010501437
FALSE,0.10, 8, 50,1.00,0.50,gbdt,1000,7.54607796176277
TRUE,0.30, 8, 50,1.00,0.50,gbdt,267,7.683411457467379
FALSE,0.30, 8, 50,1.00,0.50,gbdt,269,8.020096727501182
TRUE,0.01,10, 50,1.00,0.50,gbdt,1000,7.50443431979936
FALSE,0.01,10, 50,1.00,0.50,gbdt,999,7.683964966806467
TRUE,0.05,10, 50,1.00,0.50,gbdt,1000,7.239815605499249
FALSE,0.05,10, 50,1.00,0.50,gbdt,999,7.458235192443881
TRUE,0.10,10, 50,1.00,0.50,gbdt,994,7.2313095218418555
FALSE,0.10,10, 50,1.00,0.50,gbdt,999,7.4799407059524805
TRUE,0.30,10, 50,1.00,0.50,gbdt,376,7.648622010095529
FALSE,0.30,10, 50,1.00,0.50,gbdt,367,7.998837277804721
TRUE,0.01, 1,100,1.00,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1,100,1.00,0.50,gbdt,1000,9.068742092807906
TRUE,0.05, 1,100,1.00,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1,100,1.00,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1,100,1.00,0.50,gbdt,992,8.491265806504522
FALSE,0.10, 1,100,1.00,0.50,gbdt,842,8.677796537393862
TRUE,0.30, 1,100,1.00,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1,100,1.00,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3,100,1.00,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3,100,1.00,0.50,gbdt,998,8.235538953661075
TRUE,0.05, 3,100,1.00,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3,100,1.00,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3,100,1.00,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3,100,1.00,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3,100,1.00,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3,100,1.00,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5,100,1.00,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5,100,1.00,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5,100,1.00,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5,100,1.00,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5,100,1.00,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5,100,1.00,0.50,gbdt,983,7.5713349407456745
TRUE,0.30, 5,100,1.00,0.50,gbdt,246,7.591904496090638
FALSE,0.30, 5,100,1.00,0.50,gbdt,336,7.83014934984274
TRUE,0.01, 8,100,1.00,0.50,gbdt,1000,7.426387800534037
FALSE,0.01, 8,100,1.00,0.50,gbdt,997,7.584643577615126
TRUE,0.05, 8,100,1.00,0.50,gbdt,994,7.237171462062366
FALSE,0.05, 8,100,1.00,0.50,gbdt,995,7.401586543486853
TRUE,0.10, 8,100,1.00,0.50,gbdt,823,7.278089110415983
FALSE,0.10, 8,100,1.00,0.50,gbdt,998,7.486001449751028
TRUE,0.30, 8,100,1.00,0.50,gbdt,287,7.703888789261224
FALSE,0.30, 8,100,1.00,0.50,gbdt,134,8.114920684290524
TRUE,0.01,10,100,1.00,0.50,gbdt,1000,7.399463531969529
FALSE,0.01,10,100,1.00,0.50,gbdt,1000,7.547940771910194
TRUE,0.05,10,100,1.00,0.50,gbdt,1000,7.189221178556338
FALSE,0.05,10,100,1.00,0.50,gbdt,999,7.34325277422605
TRUE,0.10,10,100,1.00,0.50,gbdt,619,7.268496597540078
FALSE,0.10,10,100,1.00,0.50,gbdt,575,7.576304665202268
TRUE,0.30,10,100,1.00,0.50,gbdt,158,7.683235264170085
FALSE,0.30,10,100,1.00,0.50,gbdt,176,8.026647948659177
TRUE,0.01, 1,200,1.00,0.50,gbdt,1000,9.029025610685045
FALSE,0.01, 1,200,1.00,0.50,gbdt,1000,9.068742092807907
TRUE,0.05, 1,200,1.00,0.50,gbdt,1000,8.520022016960787
FALSE,0.05, 1,200,1.00,0.50,gbdt,771,8.725441356190625
TRUE,0.10, 1,200,1.00,0.50,gbdt,992,8.491265806504522
FALSE,0.10, 1,200,1.00,0.50,gbdt,842,8.67779653739386
TRUE,0.30, 1,200,1.00,0.50,gbdt,989,8.430451909151957
FALSE,0.30, 1,200,1.00,0.50,gbdt,999,8.656365940477436
TRUE,0.01, 3,200,1.00,0.50,gbdt,1000,8.104559805599813
FALSE,0.01, 3,200,1.00,0.50,gbdt,998,8.235538953661075
TRUE,0.05, 3,200,1.00,0.50,gbdt,1000,7.599917486129297
FALSE,0.05, 3,200,1.00,0.50,gbdt,999,7.852341324195278
TRUE,0.10, 3,200,1.00,0.50,gbdt,995,7.509143333420269
FALSE,0.10, 3,200,1.00,0.50,gbdt,992,7.764999537641397
TRUE,0.30, 3,200,1.00,0.50,gbdt,713,7.558355015836473
FALSE,0.30, 3,200,1.00,0.50,gbdt,994,7.927416366423577
TRUE,0.01, 5,200,1.00,0.50,gbdt,1000,7.699673556167797
FALSE,0.01, 5,200,1.00,0.50,gbdt,999,7.844786549181368
TRUE,0.05, 5,200,1.00,0.50,gbdt,1000,7.347246289681376
FALSE,0.05, 5,200,1.00,0.50,gbdt,1000,7.494383362773958
TRUE,0.10, 5,200,1.00,0.50,gbdt,896,7.23635079618328
FALSE,0.10, 5,200,1.00,0.50,gbdt,983,7.571334940745675
TRUE,0.30, 5,200,1.00,0.50,gbdt,246,7.5919044960906374
FALSE,0.30, 5,200,1.00,0.50,gbdt,336,7.83014934984274
TRUE,0.01, 8,200,1.00,0.50,gbdt,1000,7.411312745390915
FALSE,0.01, 8,200,1.00,0.50,gbdt,1000,7.56536143895574
TRUE,0.05, 8,200,1.00,0.50,gbdt,998,7.1968139196319605
FALSE,0.05, 8,200,1.00,0.50,gbdt,946,7.402084582717792
TRUE,0.10, 8,200,1.00,0.50,gbdt,846,7.246120213423954
FALSE,0.10, 8,200,1.00,0.50,gbdt,714,7.523293946013187
TRUE,0.30, 8,200,1.00,0.50,gbdt,158,7.671363246851834
FALSE,0.30, 8,200,1.00,0.50,gbdt,210,8.197139871590817
TRUE,0.01,10,200,1.00,0.50,gbdt,1000,7.332356024628045
FALSE,0.01,10,200,1.00,0.50,gbdt,1000,7.494343769565578
TRUE,0.05,10,200,1.00,0.50,gbdt,1000,7.206682822690265
FALSE,0.05,10,200,1.00,0.50,gbdt,977,7.382002023236355
TRUE,0.10,10,200,1.00,0.50,gbdt,662,7.276135806483767
FALSE,0.10,10,200,1.00,0.50,gbdt,931,7.536038117635024
TRUE,0.30,10,200,1.00,0.50,gbdt,141,7.786608038679095
FALSE,0.30,10,200,1.00,0.50,gbdt,198,8.096340078009744
TRUE,0.01, 1, 25,0.50,0.75,gbdt,1000,9.040566384471909
FALSE,0.01, 1, 25,0.50,0.75,gbdt,1000,9.07829813884896
TRUE,0.05, 1, 25,0.50,0.75,gbdt,996,8.538381846546521
FALSE,0.05, 1, 25,0.50,0.75,gbdt,893,8.667330528101887
TRUE,0.10, 1, 25,0.50,0.75,gbdt,992,8.47071404381309
FALSE,0.10, 1, 25,0.50,0.75,gbdt,592,8.724112657558344
TRUE,0.30, 1, 25,0.50,0.75,gbdt,934,8.362141105499415
FALSE,0.30, 1, 25,0.50,0.75,gbdt,217,8.843277223266199
TRUE,0.01, 3, 25,0.50,0.75,gbdt,1000,8.102442076042188
FALSE,0.01, 3, 25,0.50,0.75,gbdt,1000,8.205035424306978
TRUE,0.05, 3, 25,0.50,0.75,gbdt,999,7.5689111998167045
FALSE,0.05, 3, 25,0.50,0.75,gbdt,997,7.808771052616349
TRUE,0.10, 3, 25,0.50,0.75,gbdt,1000,7.472302888375559
FALSE,0.10, 3, 25,0.50,0.75,gbdt,1000,7.577071596176429
TRUE,0.30, 3, 25,0.50,0.75,gbdt,516,7.584465795520593
FALSE,0.30, 3, 25,0.50,0.75,gbdt,449,7.750571758299255
TRUE,0.01, 5, 25,0.50,0.75,gbdt,1000,7.758415612745909
FALSE,0.01, 5, 25,0.50,0.75,gbdt,1000,7.901434555599382
TRUE,0.05, 5, 25,0.50,0.75,gbdt,1000,7.339303352648612
FALSE,0.05, 5, 25,0.50,0.75,gbdt,1000,7.486846809134627
TRUE,0.10, 5, 25,0.50,0.75,gbdt,959,7.29721100404286
FALSE,0.10, 5, 25,0.50,0.75,gbdt,773,7.449603718846203
TRUE,0.30, 5, 25,0.50,0.75,gbdt,275,7.6362202398526655
FALSE,0.30, 5, 25,0.50,0.75,gbdt,629,7.675493322256652
TRUE,0.01, 8, 25,0.50,0.75,gbdt,1000,7.670417111848063
FALSE,0.01, 8, 25,0.50,0.75,gbdt,1000,7.860997298618145
TRUE,0.05, 8, 25,0.50,0.75,gbdt,999,7.262371665862894
FALSE,0.05, 8, 25,0.50,0.75,gbdt,999,7.475298297206859
TRUE,0.10, 8, 25,0.50,0.75,gbdt,996,7.211685501187543
FALSE,0.10, 8, 25,0.50,0.75,gbdt,995,7.461113641352422
TRUE,0.30, 8, 25,0.50,0.75,gbdt,296,7.662041215142469
FALSE,0.30, 8, 25,0.50,0.75,gbdt,329,7.732016571613677
TRUE,0.01,10, 25,0.50,0.75,gbdt,1000,7.6589332744013925
FALSE,0.01,10, 25,0.50,0.75,gbdt,1000,7.8490028012809185
TRUE,0.05,10, 25,0.50,0.75,gbdt,1000,7.3039930117447955
FALSE,0.05,10, 25,0.50,0.75,gbdt,999,7.489260568259779
TRUE,0.10,10, 25,0.50,0.75,gbdt,887,7.26041409243832
FALSE,0.10,10, 25,0.50,0.75,gbdt,1000,7.507397139471988
TRUE,0.30,10, 25,0.50,0.75,gbdt,438,7.589570180629843
FALSE,0.30,10, 25,0.50,0.75,gbdt,489,7.788428793462415
TRUE,0.01, 1, 50,0.50,0.75,gbdt,1000,9.040566384471909
FALSE,0.01, 1, 50,0.50,0.75,gbdt,1000,9.07829813884896
TRUE,0.05, 1, 50,0.50,0.75,gbdt,996,8.538381846546521
FALSE,0.05, 1, 50,0.50,0.75,gbdt,893,8.667330528101887
TRUE,0.10, 1, 50,0.50,0.75,gbdt,992,8.47071404381309
FALSE,0.10, 1, 50,0.50,0.75,gbdt,592,8.724112657558344
TRUE,0.30, 1, 50,0.50,0.75,gbdt,934,8.362141105499415
FALSE,0.30, 1, 50,0.50,0.75,gbdt,217,8.843277223266199
TRUE,0.01, 3, 50,0.50,0.75,gbdt,1000,8.102442076042188
FALSE,0.01, 3, 50,0.50,0.75,gbdt,1000,8.205035424306978
TRUE,0.05, 3, 50,0.50,0.75,gbdt,999,7.568911199816704
FALSE,0.05, 3, 50,0.50,0.75,gbdt,997,7.808771052616349
TRUE,0.10, 3, 50,0.50,0.75,gbdt,1000,7.472302888375559
FALSE,0.10, 3, 50,0.50,0.75,gbdt,1000,7.577071596176429
TRUE,0.30, 3, 50,0.50,0.75,gbdt,516,7.584465795520593
FALSE,0.30, 3, 50,0.50,0.75,gbdt,449,7.750571758299255
TRUE,0.01, 5, 50,0.50,0.75,gbdt,1000,7.731590663329065
FALSE,0.01, 5, 50,0.50,0.75,gbdt,999,7.89661770046141
TRUE,0.05, 5, 50,0.50,0.75,gbdt,998,7.337422294611616
FALSE,0.05, 5, 50,0.50,0.75,gbdt,999,7.444164054393139
TRUE,0.10, 5, 50,0.50,0.75,gbdt,918,7.344097829820742
FALSE,0.10, 5, 50,0.50,0.75,gbdt,972,7.449533621166279
TRUE,0.30, 5, 50,0.50,0.75,gbdt,316,7.696116479655554
FALSE,0.30, 5, 50,0.50,0.75,gbdt,453,7.697153647751332
TRUE,0.01, 8, 50,0.50,0.75,gbdt,1000,7.553279252831285
FALSE,0.01, 8, 50,0.50,0.75,gbdt,1000,7.727640107176435
TRUE,0.05, 8, 50,0.50,0.75,gbdt,977,7.3123601592971115
FALSE,0.05, 8, 50,0.50,0.75,gbdt,1000,7.462570385461173
TRUE,0.10, 8, 50,0.50,0.75,gbdt,961,7.265998241477949
FALSE,0.10, 8, 50,0.50,0.75,gbdt,617,7.5255078227396774
TRUE,0.30, 8, 50,0.50,0.75,gbdt,184,7.7527889486344375
FALSE,0.30, 8, 50,0.50,0.75,gbdt,291,7.958769362647111
TRUE,0.01,10, 50,0.50,0.75,gbdt,1000,7.53833590273553
FALSE,0.01,10, 50,0.50,0.75,gbdt,999,7.714546759210775
TRUE,0.05,10, 50,0.50,0.75,gbdt,1000,7.269611909936442
FALSE,0.05,10, 50,0.50,0.75,gbdt,996,7.439770309054364
TRUE,0.10,10, 50,0.50,0.75,gbdt,678,7.270773271042196
FALSE,0.10,10, 50,0.50,0.75,gbdt,989,7.529215091052347
TRUE,0.30,10, 50,0.50,0.75,gbdt,192,7.656449998384724
FALSE,0.30,10, 50,0.50,0.75,gbdt,203,7.89402577290003
TRUE,0.01, 1,100,0.50,0.75,gbdt,1000,9.040566384471909
FALSE,0.01, 1,100,0.50,0.75,gbdt,1000,9.07829813884896
TRUE,0.05, 1,100,0.50,0.75,gbdt,996,8.538381846546521
FALSE,0.05, 1,100,0.50,0.75,gbdt,893,8.667330528101887
TRUE,0.10, 1,100,0.50,0.75,gbdt,992,8.47071404381309
FALSE,0.10, 1,100,0.50,0.75,gbdt,592,8.724112657558344
TRUE,0.30, 1,100,0.50,0.75,gbdt,934,8.362141105499415
FALSE,0.30, 1,100,0.50,0.75,gbdt,217,8.843277223266199
TRUE,0.01, 3,100,0.50,0.75,gbdt,1000,8.102442076042188
FALSE,0.01, 3,100,0.50,0.75,gbdt,1000,8.205035424306978
